id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
2203_320,"Bàn TINTIN","Bàn tròn TINTIN được thiết kế theo phong cách tối giản, nổi bật với gam màu gỗ tự nhiên đẹp mắt. Sản phẩm được làm từ gỗ bạch dương chống ẩm tốt, có độ bền lâu dài. Hãy kết hợp chung với những món nội thất khác trong bộ sưu tập TINTIN từ BAYA để hoàn thiện phong cách nội thất của mình.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ban-tintin-2203-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ban-tintin/,"Bàn","Chí Trung",699000VND,in stock,2203_320,https://chitrung.bmic.edu.vn/cart/?add-to-cart=320,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,699000VND,new,published,,
2224_321,"Ghế trẻ em PIGLET","Ghế ăn trẻ em PIGLET của nội thất BAYA làm từ gỗ cao su, thân ghế sơn trắng phối mặt ghế màu gỗ tự nhiên. Sản phẩm thiết kế an toàn, các góc cạnh bo tròn, chiều cao phù hợp với bé. Ba mẹ hoàn toàn có thể yên tâm khi chọn mua ghế ăn trẻ em PIGLET.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ghe-tre-em-piglet-2224-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-tre-em-piglet/,"Nội thất cho bé","Chí Trung",499000VND,in stock,2224_321,https://chitrung.bmic.edu.vn/cart/?add-to-cart=321,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,499000VND,new,published,,
2068_313,"Móc treo đồ GUARDIA","Móc treo đồ GUARDIA có thiết kế đơn giản và thiết thực, dễ lắp đặt. Chất liệu gỗ keo đã qua xử lý đem đến độ bền cao và vẻ ngoài đẹp mắt.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/moc-treo-do-guardia-2068-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/moc-treo-do-guardia/,"Sản phẩm gắn tường","Chí Trung",89000VND,in stock,2068_313,https://chitrung.bmic.edu.vn/cart/?add-to-cart=313,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,89000VND,new,published,,
2389_312,"Kệ gắn tường CATCH","Kệ gắn tường 3 tầng với thiết kế cơ bản, thuần chức năng nhưng không kém phần đẹp mắt và hiện đại nhờ gỗ keo kết hợp các chi tiết kim loại. Sản phẩm có độ bền cao và dễ lắp đặt. Hãy bổ sung trọn bộ sưu tập nội thất bằng gỗ keo CATCH từ BAYA dành cho sảnh và lối vào.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-gan-tuong-catch-2389-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-gan-tuong-catch/,"Tủ kệ","Chí Trung",699000VND,in stock,2389_312,https://chitrung.bmic.edu.vn/cart/?add-to-cart=312,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,699000VND,new,published,,
2394_311,"Wall-shelf-brackets LOKKO","Giá đỡ kệ LOKKO được làm từ gỗ keo bền chắc mang lại nét đẹp mộc mạc và khác biệt so với các loại giá đỡ bằng nhựa hay kim loại. Cố định sản phẩm trên tường nơi bạn muốn gắn kệ, đặt mặt ván lên giá đỡ là bạn đã có ngay một chiếc kệ sách, kệ gia vị hay kệ trang trí mà không mất quá nhiều thời gian hay công sức.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/tay-do-lokko-2394-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/wall-shelf-brackets-lokko-2/,"Sản phẩm gắn tường","Chí Trung",69000VND,in stock,2394_311,https://chitrung.bmic.edu.vn/cart/?add-to-cart=311,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,69000VND,new,published,,
2395_310,"Wall-shelf-brackets LOKKO","Giá đỡ kệ LOKKO được làm từ gỗ keo bền chắc mang lại nét đẹp mộc mạc và khác biệt so với các loại giá đỡ bằng nhựa hay kim loại. Cố định sản phẩm trên tường nơi bạn muốn gắn kệ, đặt mặt ván lên giá đỡ là bạn đã có ngay một chiếc kệ sách, kệ gia vị hay kệ trang trí mà không mất quá nhiều thời gian hay công sức.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/tay-do-lokko-2395-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/wall-shelf-brackets-lokko/,"Sản phẩm gắn tường","Chí Trung",69000VND,in stock,2395_310,https://chitrung.bmic.edu.vn/cart/?add-to-cart=310,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,69000VND,new,published,,
2397_309,"Kệ trang trí LOKA","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao nhờ chất liệu gỗ keo tự nhiên. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-trang-tri-loka-2397-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trang-tri-loka-3/,"Tủ kệ","Chí Trung",99000VND,in stock,2397_309,https://chitrung.bmic.edu.vn/cart/?add-to-cart=309,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99000VND,new,published,,
2404_308,"Kệ trang trí LOKA","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao nhờ chất liệu gỗ keo tự nhiên. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-trang-tri-loka-2404-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trang-tri-loka-2/,"Tủ kệ","Chí Trung",199000VND,in stock,2404_308,https://chitrung.bmic.edu.vn/cart/?add-to-cart=308,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199000VND,new,published,,
2411_307,"Kệ trang trí LOKA","Kệ gỗ LOKA cung cấp thêm không gian trưng bày và lưu trữ cho tổ ấm. Sản phẩm dễ lắp đặt và có độ bền cao. Hãy khám phá trọn bộ sưu tập kệ LOKA từ BAYA với nhiều màu sắc và kích thước.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-trang-tri-loka-2411-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trang-tri-loka/,"Tủ kệ","Chí Trung",199000VND,in stock,2411_307,https://chitrung.bmic.edu.vn/cart/?add-to-cart=307,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199000VND,new,published,,
1048506_303,"Gương treo tường MOZART","Gương gắn tường từ bộ sưu tập MOZART do BAYA thiết kế sẽ đem đến nét thanh lịch và sang trọng cho không gian sống của bạn. Sản phẩm từ gỗ cao su bền bỉ và giúp bạn tiết kiệm không gian thật hiệu quả. Hãy khám phá trọn bộ sưu tập MOZART để chọn cho tổ ấm những món nội thất thật đẹp.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/MOZART_Wall_mirror_MDF_Rubber_wood_White_UMA_1048506.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-mozart/,"Gương, Sản Phẩm Sale","Chí Trung",699000VND,in stock,1048506_303,https://chitrung.bmic.edu.vn/cart/?add-to-cart=303,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,500000VND,new,published,,
1064360_301,"Gương treo tường KITKA","Gương treo tường KITKA đơn giản mang đến phong cách hiện đại cho bất kỳ không gian nào của gia đình bạn. Sản phẩm có khung làm từ gỗ cao su chắc chắn, giữ cho gương luôn được cố định vị trí. Đặt gương vào vị trí phù hợp, bạn có thể thoải mái bổ sung các vật dụng khác để hoàn thiện căn phòng.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/KITKA_Wall_Mirror_with_Shelf_MDF_Rubber_wood_Walnut_UMA_1064360_corner.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-kitka/,"Gương","Chí Trung",899000VND,in stock,1064360_301,https://chitrung.bmic.edu.vn/cart/?add-to-cart=301,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,899000VND,new,published,,
1048513_302,"Gương đứng MOZART","Gương đứng MOZART do BAYA thiết kế sẽ đem đến vẻ đẹp trang nhã, sang trọng cho không gian nội thất. Sản phẩm có thể gấp gọn và dễ di chuyển, giúp bạn tiết kiệm diện tích phòng thật hiệu quả. Hãy khám phá thêm các món nội thất còn lại trong bộ sưu tập MOZART bằng gỗ cao su từ BAYA.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/mozart_standing_mirror_mdf_rubber_wood_white_uma_1048513_corner.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-dung-mozart/,"Gương, Sản Phẩm Sale","Chí Trung",1590000VND,in stock,1048513_302,https://chitrung.bmic.edu.vn/cart/?add-to-cart=302,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,900000VND,new,published,,
1032406_304,"Gương để bàn trang điểm HARRIS","Gương HARRIS từ gỗ sồi sẽ giúp góc làm đẹp của bạn thêm sang trọng, ấn tượng. Sẽ hoàn hảo hơn khi kết hợp chiếc gương này cùng bàn trang điểm HARRIS. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập ALI từ gỗ sồi để hoàn thiện không gian sống thật đẹp và tiện nghi của bạn.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/guong-de-ban-trang-diem-harris-1032406-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-de-ban-trang-diem-harris/,"Gương","Chí Trung",999000VND,in stock,1032406_304,https://chitrung.bmic.edu.vn/cart/?add-to-cart=304,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,999000VND,new,published,,
4688_305,"Kệ trưng bày NIKKI","Thoải mái sắp xếp các vật dụng cần thiết với giá để đồ NIKKI từ nội thất BAYA. Giá được làm từ chất liệu gỗ keo chắc chắn, phủ sơn đen sang trọng, chia thành 2 tầng để dễ dàng sử dụng. Kết hợp giá cùng các sản phẩm khác trong cùng bộ sưu tập NIKKI để hoàn thiện nội thất.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-trung-bay-nikki-4688-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trung-bay-nikki/,"Phòng Khách, Tủ kệ","Chí Trung",899000VND,in stock,4688_305,https://chitrung.bmic.edu.vn/cart/?add-to-cart=305,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,899000VND,new,published,,
4687_306,"Kệ trưng bày NIKKI","Kệ NIKKI với độ rộng lý tưởng để bạn dùng làm kệ sách hoặc trưng bày đồ vật trong nhà. Sản phẩm dễ lắp đặt, cho độ bền cao và có 2 phiên bản màu (màu gỗ tự nhiên và màu đen).",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ke-trung-bay-nikki-4687-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trung-bay-nikki-2/,"Tủ kệ","Chí Trung",799000VND,in stock,4687_306,https://chitrung.bmic.edu.vn/cart/?add-to-cart=306,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,799000VND,new,published,,
1064384_300,"Gương đứng KITKA","Gương đứng KITKA mang lại nét đẹp cổ điển cho không gian với tông màu nâu trầm và thiết kế theo phong cách retro. Gương cao 165cm, có thể thoải mái điều chỉnh độ nghiêng. Kết hợp cùng các sản phẩm khác trong bộ sưu tập KITKA đến từ BAYA để hoàn thiện việc bày trí nội thất cho ngôi nhà bạn.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/KITKA_Standing_Mirror_MDF_Rubber_wood_Walnut_UMA_1064384_corner.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-dung-kitka/,"Gương","Chí Trung",2490000VND,in stock,1064384_300,https://chitrung.bmic.edu.vn/cart/?add-to-cart=300,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2490000VND,new,published,,
1073546_299,"Gương treo tường GUARDIA","Là một thiết kế của nội thất BAYA, gương treo tường GUARDIA ghi điểm với thiết kế đơn giản đầy tinh tế. Phần khung được làm từ gỗ keo chắc chắn, gương dày dặn, cho độ bền cao. Sản phẩm thích hợp với nhiều không gian nội thất khác nhau, từ hiện đại cho đến cổ điển.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/GUARDIA_Wall_Mirror_Acacia_UMA_1073546_front.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-guardia-2/,"Gương","Chí Trung",449000VND,in stock,1073546_299,https://chitrung.bmic.edu.vn/cart/?add-to-cart=299,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,449000VND,new,published,,
3475_294,"Gương đứng ALI","Gương đứng soi được toàn thân với khung gỗ thông tự nhiên đẹp mắt, chắc chắn. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập ALI từ gỗ thông dành cho tổ ấm của bạn.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/guong-dung-ali-3475-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-dung-ali/,"Gương, Sản Phẩm Sale","Chí Trung",1690000VND,in stock,3475_294,https://chitrung.bmic.edu.vn/cart/?add-to-cart=294,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1000000VND,new,published,,
3479_293,"Gương treo tường CATCH","Được thiết kế đơn giản và tự nhiên với chất liệu gỗ keo bền chắc, gương treo tường CATCH mang lại nét hiện đại, trang nhã cho không gian sống của bạn. Sản phẩm có thể đặt tại nhiều khu vực như sảnh và lối vào, phòng ngủ, phòng tắm… thuận tiện cho việc nhìn ngắm mình trong gương của chủ nhân và trang trí cho ngôi nhà thêm cảm hứng.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/guong-treo-tuong-catch-3479-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-catch/,"Gương","Chí Trung",249000VND,in stock,3479_293,https://chitrung.bmic.edu.vn/cart/?add-to-cart=293,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,249000VND,new,published,,
1098365_295,"Gương treo tường BERNIE","Được thiết kế đơn giản, chất liệu MFC chắc chắn với màu gỗ tự nhiên tươi sáng, gương treo tường BERNIE mang lại nét trang nhã và sang trọng cho không gian sống của bạn. Sản phẩm có thể đặt tại nhiều khu vực như sảnh và lối vào, phòng ngủ, phòng tắm… thuận tiện cho việc nhìn ngắm mình trong gương của chủ nhân và trang trí cho ngôi nhà thêm cảm hứng.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/BERNIE_Wall_mirror_UMA_1098365_1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-bernie/,"Gương","Chí Trung",349000VND,in stock,1098365_295,https://chitrung.bmic.edu.vn/cart/?add-to-cart=295,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349000VND,new,published,,
1089219_296,"Gương treo tường ALBANY","Chiếc gương treo tường ALBANY được làm từ chất liệu gỗ sồi tự nhiên và MDF được phủ lớp veneer cao cấp, tạo độ bền cho sản phẩm. Thiết kế gương hình chữ nhật đơn giản, sang trọng và tinh tế. Bạn có thể treo gương lên tường tạo điểm nhấn hoặc kết hợp cùng tủ trong bộ sưu tập ALBANY để tăng thêm tính thẩm mỹ cho không gian sống.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ALBANY_Wall_mirror_Oak_veneer_Oak_MDF_Dark_UMA_1089219.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-albany/,"Gương","Chí Trung",1590000VND,in stock,1089219_296,https://chitrung.bmic.edu.vn/cart/?add-to-cart=296,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1590000VND,new,published,,
1078428_297,"Gương treo tường GUARDIA","Là một thiết kế của nội thất BAYA, gương treo tường GUARDIA ghi điểm với thiết kế đơn giản đầy tinh tế. Phần khung được làm từ gỗ keo chắc chắn, gương dày dặn, cho độ bền cao. Sản phẩm thích hợp với nhiều không gian nội thất khác nhau, từ hiện đại cho đến cổ điển.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/GUARDIA_Wall_Mirror_Acacia_White_UMA_1078428_front.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-treo-tuong-guardia/,"Gương","Chí Trung",449000VND,in stock,1078428_297,https://chitrung.bmic.edu.vn/cart/?add-to-cart=297,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,449000VND,new,published,,
1073560_298,"Gương đứng GUARDIA","Gương đứng GUARDIA với khung làm từ gỗ keo tự nhiên bền chắc mang lại nét đẹp gần gũi, hiện đại cho ngôi nhà bạn. Gương soi được toàn thân, thích hợp đặt tại sảnh và lối vào cũng như trong phòng ngủ. Giá đỡ gấp gọn được, giúp tiết kiệm diện tích khi không sử dụng. Kệ nhỏ phía sau cho bạn thoải mái sắp xếp các vật dụng như xi đánh giày, áo mưa, mũ…",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/GUARDIA_Standing_Mirror_Acacia_UMA_1073560_corner_1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/guong-dung-guardia/,"Gương","Chí Trung",1590000VND,in stock,1073560_298,https://chitrung.bmic.edu.vn/cart/?add-to-cart=298,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1590000VND,new,published,,
1096408_292,"Tủ kính CONNEMARA","Tủ kính CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp chai rượu, khung ảnh… hay vật dụng bàn ăn. Khung tủ làm từ thép sơn tĩnh điện bền chắc và kính cao cấp, các chi tiết bo tròn với màu đen mờ và vàng đồng sáng là điểm nhấn bắt mắt. Lưng tủ bằng gương đem lại vẻ đẹp sang trọng, hiện đại và cảm giác rộng rãi cho không gian.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/CONNEMARA_Glass_cabinet_UMA_1096408_1.jpg.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/tu-kinh-connemara/,"Tủ kệ","Chí Trung",9990000VND,in stock,1096408_292,https://chitrung.bmic.edu.vn/cart/?add-to-cart=292,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9990000VND,new,published,,
1097825_291,"Tủ kính MOZART","Tủ kính MOZART được thiết kế bởi BAYA sẽ là nơi trưng bày và lưu trữ lý tưởng cho bộ bát đĩa yêu thích hay những vật lưu niệm của bạn. Sản phẩm có khung gỗ chắc chắn, thiết kế có cửa kính gồm nhiều tầng chứa kèm hai ngăn kéo tiện dụng. Mặt trên cùng được giữ lại màu gỗ tự nhiên kết hợp với thân tủ phủ sơn trắng giúp đem lại vẻ đẹp trang nhã, sang trọng cho căn phòng. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập MOZART từ BAYA cho tổ ấm của mình.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/tu-kinh-mozart-1097825-1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/tu-kinh-mozart/,"Tủ kệ","Chí Trung",3990000VND,in stock,1097825_291,https://chitrung.bmic.edu.vn/cart/?add-to-cart=291,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3990000VND,new,published,,
2098_290,"Ghế thay giày CATCH","Sở hữu thiết kế đa năng, ghế thay giày CATCH là giải pháp hoàn hảo cho việc sắp xếp giày một cách ngăn nắp, đồng thời tiết kiệm thời gian, công sức mỗi khi muốn thay một đôi giày ưng ý để ra ngoài. Sản phẩm với kiểu dáng đơn giản, sử dụng chất liệu gỗ keo kết hợp với kim loại cao cấp, tạo nên sự chắc chắn, bền đẹp trong suốt quá trình sử dụng. Ghế thay giày trong gam màu gỗ mộc mạc, khó dính bẩn, hứa hẹn sẽ mang đến không gian sống, sinh hoạt tiện ích, cổ điển, nhưng không kém phần sang trọng.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ghe-thay-giay-catch-2098-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-thay-giay-catch/,"Ghế","Chí Trung",1990000VND,in stock,2098_290,https://chitrung.bmic.edu.vn/cart/?add-to-cart=290,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1990000VND,new,published,,
