"|","|__tenSp","|__maSp","|__giaSp","|__kichCo","|__chatLieu","|__xuatSu","|__moTa","|__nameImg"
"bo_ban_an","Bộ bàn ăn 6 ghế VERONA","1098938Sản phẩm gồm:• 01 x Bàn ăn VERONA.• 06 x Ghế ăn VERONA.GIÁ: 9,584,0006,990,000.","6990000","L170xW100xH69","Sồi veneer / MDF","Việt Nam","Bộ bàn & 6 ghế ăn VERONA nổi bật với thiết kế ấn tượng cùng chất liệu gỗ MDF và veneer gỗ sồi bền chắc màu sắc tự nhiên tươi sáng. Bề mặt sản phẩm nhẵn đẹp và khung kim loại vững chãi mang lại vẻ sang trọng thích hợp với nhiều không gian nội thất khác nhau.","0.jpg"
"","Bộ bàn ăn 6 ghế VERONA","1098990","5990000","L170xW100xH69","Màu trắng","MDF","Bộ bàn & 6 ghế ăn VERONA nổi bật với thiết kế ấn tượng cùng chất liệu gỗ MDF bền chắc phủ màu sơn trắng tinh khôi, trang nhã. Bề mặt sản phẩm nhẵn đẹp và khung kim loại vững chãi mang lại vẻ sang trọng thích hợp với nhiều không gian nội thất khác nhau.","0_2.jpg"
"","Bộ bàn ăn 6 ghế KITKA","1099133Sản phẩm gồm:• 01 x Bàn ăn KITKA.• 06 x Ghế ăn KITKA.GIÁ: 8,584,0007,690,000.","7690000","L150xW90xH75","Màu gỗ đậm","Gỗ cao su","Bộ bàn & 6 ghế ăn KITKA với thiết kế đơn giản theo phong cách châu Á cổ điển, chất liệu gỗ cao su bền chắc và gam màu nâu thẫm mang vẻ đẹp ấm cúng vào phòng ăn gia đình bạn. Đệm ngồi làm từ mút bọc da tổng hợp êm ái, góp phần tô điểm cho không gian sang trọng. Trọn bộ với giá tốt là lựa chọn hoàn hảo mà BAYA dành tặng tổ ấm bạn.","KITKA_Dining_Set_UMA_1099133.jpg"
"","Bộ bàn ăn 6 ghế ATTILA","1099232","18400000","L180xW100xH75","Sồi veneer/ Sồi/ MDF/ Ván dăm","Việt Nam","Bộ bàn & 6 ghế ăn ATTILA do BAYA thiết kế thuận theo tư thế ngồi tự nhiên, với vẻ đẹp từ những vân gỗ sồi và cấu trúc vững chãi góp phần làm cho bữa ăn gia đình thêm ấm cúng. Khung gỗ sồi đặc và mặt bàn phủ veneer gỗ sồi chất lượng cao, cùng đệm ngồi từ mút bọc da tổng hợp êm ái cho không gian dùng bữa của bạn thoải mái hơn bao giờ hết.","ATTILA_Dining_set_UMA_1099232.jpg"
"","Bộ bàn ăn 6 ghế HUNG-VUONG","1098075","12900000","L180xW90xH75","Nâu đậm","Gỗ keo / cao su","Nằm trong bộ sưu tập đậm chất truyền thống của nội thất BAYA, bộ bàn & 6 ghế ăn Hùng Vương gây ấn tượng bởi thiết kế đơn giản nhưng đầy tinh tế, sang trọng. Sản phẩm được làm từ gỗ keo chắc chắn với màu nâu sậm quý phái, mang đến độ bền lâu dài khi sử dụng. Kết hợp với các sản phẩm khác trong cùng bộ sưu tập Hùng Vương để hoàn thiện việc bày trí.","hung_vuong_dining_table_set_uma_1098075.jpg"
"","Bộ bàn ăn 6 ghế QATAR","1099065Sản phẩm gồm:• 01 x Bàn ăn QATAR.• 06 x Ghế ăn QATAR.GIÁ: 7,184,0006,490,000.","6490000","L160xW80xH75","Gỗ cao su","Việt Nam","Với thiết kế đơn giản và chân phương, bộ bàn & 6 ghế ăn QATAR thích hợp với nhiều phong cách phòng ăn. Sản phẩm làm từ chất liệu gỗ cao su bền chắc, với màu sắc tự nhiên tươi sáng mang lại vẻ đẹp mộc mạc nhưng không kém phần sang trọng cho không gian dùng bữa. Trọn bộ với giá tốt là lựa chọn hoàn hảo cho phòng ăn gia đình bạn.","QATAR_Dining_Set_UMA_1099065.jpg"
"","Bộ bàn ăn 6 ghế PRINCETON","1099072Sản phẩm gồm:• 01 x Bàn ăn PRINCETON.• 06 x Ghế ăn PRINCETON.GIÁ: 18,930,00016,400,000.","16400000","L180xW95xH75","Màu gỗ đậm","Gỗ cao su/ MDF/ Phủ gỗ óc chó","Đơn giản và hiện đại, bộ bàn & 6 ghế ăn PRINCETON là lựa chọn lý tưởng cho phòng ăn gia đình bạn. Chất liệu khung làm từ veneer gỗ óc chó, gỗ cao su và MDF bền chắc với gam màu nâu thẫm và vân gỗ bắt mắt. Chân bàn được thiết kế ấn tượng, là điểm nhấn cho không gian dùng bữa thêm thu hút. Ghế có đệm ngồi và lưng tựa êm ái mang lại nét sang trọng, tinh tế.","PRINCETON_Dining_set_UMA_1099072.jpg"
"","Bộ bàn ăn 6 ghế PRINCETON","1099089Sản phẩm gồm:• 01 x Bàn ăn PRINCETON.• 06 x Ghế ăn PRINCETON.GIÁ: 18,930,00016,400,000.","16400000","L180xW95xH75","Màu gỗ sáng","Sồi veneer / Gỗ cao su / MDF","Đơn giản và hiện đại, bộ bàn & 6 ghế ăn PRINCETON là lựa chọn lý tưởng cho phòng ăn gia đình bạn. Chất liệu khung làm từ veneer gỗ sồi, gỗ cao su và MDF bền chắc với gam màu tự nhiên tươi sáng và vân gỗ bắt mắt. Chân bàn được thiết kế ấn tượng, là điểm nhấn cho không gian dùng bữa thêm thu hút. Ghế có đệm ngồi và lưng tựa êm ái mang lại nét sang trọng, tinh tế.","PRINCETON_Dining_Set_UMA_1099089.jpg"
"","Bộ bàn ăn 6 ghế HARRIS","1099140Sản phẩm gồm:• 01 x Bàn ăn HARRIS.• 06 x Ghế ăn HARRIS.GIÁ: 14,530,00012,900,000.","12900000","L150xW90xH74","Sồi veneer / Sồi / MDF","Việt Nam","Bộ bàn & 6 ghế ăn HARRIS là một sản phẩm đặc biệt trong dòng nội thất cao cấp của BAYA. Thiết kế đơn giản với chất liệu gỗ sồi bền chắc và màu sắc tự nhiên mang lại vẻ đẹp ấm cúng cho phòng ăn gia đình bạn. Đệm ngồi làm từ mút bọc da tổng hợp êm ái, góp phần tô điểm cho không gian sang trọng.","HARRIS_Dining_Set_UMA_1099140.jpg"
"","Bộ bàn ăn 6 ghế COBRA","1099188Sản phẩm gồm:• 01 x Bàn ăn COBRA.• 04 x Ghế ăn COBRA.GIÁ: 17,830,00015,900,000.","15900000","L160xW90xH75","Sồi veneer/ Sồi/ MDF/ Ván dăm","Việt Nam","Bộ bàn & 6 ghế ăn COBRA là một thiết kế đặc biệt của BAYA, với chất liệu gỗ sồi cao cấp phối màu sắc tự nhiên và đường nét vân gỗ đẹp mắt. Sản phẩm mang lại vẻ đẹp tinh tế hoàn hảo cho tổ ấm bạn. Những chi tiết bo tròn và uốn cong nhẹ nhàng cho bạn cảm giác thoải mái trong không gian dùng bữa.","COBRA_Dining_Set_UMA_1099188.jpg"
"","Bộ bàn ăn 4 ghế VERONA","1098945Sản phẩm gồm:• 01 x Bàn ăn VERONA.• 04 x Ghế ăn VERONA.GIÁ: 5,186,0004,490,000.","4490000","L75xW75xH69","Màu gỗ đậm","MDF /Phủ gỗ óc chó","Bộ bàn & 4 ghế ăn VERONA nổi bật với thiết kế ấn tượng cùng chất liệu gỗ MDF và veneer gỗ óc chó bền chắc màu nâu sẫm hiện đại, tinh tế. Bề mặt sản phẩm nhẵn đẹp và khung kim loại vững chãi mang lại vẻ sang trọng thích hợp với nhiều không gian nội thất khác nhau.","VERONA_Dining_Table_MDF_Walnut_Veneer_Walnut_UMA_1071665-0.jpg"
"","Bộ bàn ăn 4 ghế VERONA","1098976Sản phẩm gồm:• 01 x Bàn ăn VERONA.• 04 x Ghế ăn VERONA.GIÁ: 4,286,0003,790,000.","3790000","L75xW75xH69","Màu trắng","MDF","Bộ bàn & 4 ghế ăn VERONA nổi bật với thiết kế ấn tượng cùng chất liệu gỗ MDF bền chắc phủ màu sơn trắng tinh khôi, trang nhã. Bề mặt sản phẩm nhẵn đẹp và khung kim loại vững chãi mang lại vẻ sang trọng thích hợp với nhiều không gian nội thất khác nhau.","0_1.jpg"
"giuong","Giường AKIO","1099898• Chất liệu gỗ óc chó cao cấp\n• Khung giường rộng rãi• Phong cách Nhật Bản & Việt Nam đương đại","12900000","L200xW160xH107","Màu gỗ đậm","Gỗ Óc chó/Veneer Óc chó","","akio_bed_baya_1099898_1.jpg"
"","Giường YOKOHAMA","4288","3990000","L195xW140xH35","Màu kem nhạt","Vải tổng hợp","Được làm từ chất liệu Polyester mềm mịn, an toàn cho sức khỏe, giường YOKOHAMA đem đến cho bạn cảm giác êm ái, tựa lưng thư giãn sau những giờ mệt mỏi. Sản phẩm có thiết kế đơn giản nhưng toát lên vẻ hiện đại, sang trọng, nhiều kích cỡ, phù hợp với mọi không gian phòng ngủ của gia đình bạn. Với 6 chân gỗ đóng chuẩn vào khung cùng với màu sắc tươi sáng, bắt mắt, sản phẩm tạo sự vững chắc và bền đẹp theo thời gian.","giuong-yokohama-4288-1-baya.vn.jpg"
"","Giường tầng GRAFFITI","1462","4490000","D90/ 138xW190xH175","Màu đen","Thép sơn tĩnh điện","Giường tầng GRAFFITI là một trong những giải pháp tốt nhất cho không gian phòng ngủ nhỏ. Sản phẩm được làm từ chất liệu kim loại phủ sơn tĩnh điện đen sang trọng có thiết kế vững chãi, giúp tiết kiệm diện tích hiệu quả. Thiết kế thông minh giường đi kèm cầu thang tiện dụng để dễ di chuyển.","giuong-tang-graffiti-1462-1-baya.vn.jpg"
"","Bộ ngăn kéo ATTILA","1100259• Thiết kế đặc biệt của BAYA • Thành phần gỗ sồi cao cấp, bền chắc • Kiểu dáng đơn giản, sang trọng","1990000","D72xW200xH22","Sồi veneer / Sồi / MDF","Việt Nam","","attila_set_of_drawers_baya_1100259_1.jpg"
"","Khung giường ATTILA","1100242• Thiết kế đặc biệt của BAYA • Thành phần gỗ sồi cao cấp, bền chắc • Kiểu dáng đơn giản, sang trọng","7990000","L200xW160xH35/ 90","Sồi veneer / Sồi / MDF","Việt Nam","","attila_bed_frame_baya_1100242_1.jpg"
"","Giường ALBANY","1089134","8490000","L200xW180xH90","Màu gỗ đậm","Sồi veneer / Sồi / MDF","Được thiết kế theo phong cách châu Á đương đại, giường ngủ ALBANY góp phần làm hoàn hảo cho không gian phòng ngủ của bạn. Giường được làm từ gỗ sồi cao cấp, phủ lớp veneer màu nâu đậm sang trọng. Phần chân giường chắc chắn với gỗ sồi miếng bản to cứng cáp, đảm bảo độ bền lâu dài cho sản phẩm. Bạn có thể chọn mua giường với kích thước King Size hoặc Queen Size trong bộ sưu tập ALBANY đẹp mắt và tinh tế.","giuong-albany-1089134-1.jpg"
"","Giường ALBANY","1089127","7490000","L200xW160xH90","Màu gỗ đậm","Sồi veneer / Sồi / MDF","Được thiết kế theo phong cách châu Á đương đại, giường ngủ ALBANY góp phần làm hoàn hảo cho không gian phòng ngủ của bạn. Giường được làm từ gỗ sồi cao cấp, phủ lớp veneer màu nâu đậm sang trọng. Phần chân giường chắc chắn với gỗ sồi miếng bản to cứng cáp, đảm bảo độ bền lâu dài cho sản phẩm. Bạn có thể chọn mua giường với kích thước King Size hoặc Queen Size trong bộ sưu tập ALBANY đẹp mắt và tinh tế.","giuong-albany-1089127_1.jpg"
"","Giường BERNIE","1053852","5490000","L200xW160xH70","MFC","Việt Nam","Là sản phẩm được thiết kế bởi BAYA, giường BERNIE mang đến giấc ngủ sâu và ngon hơn cho các thành viên trong gia đình. Giường được làm từ gỗ công nghiệp MFC bền chắc, có 2 hộc kéo từ bên trái và bên phải tiện dụng, cho bạn thoải mái lưu trữ đồ dùng. Sản phẩm có chiều cao 70cm với 2 kích cỡ cho bạn dễ dàng chọn lựa.","BERNIE_NEW_Bed_Melamine_Faced_Chipboard_MFC_Natural_UMA_1053852.jpg"
"","Giường RALLY","1035537","5490000","L200xW160xH40/80","Màu trắng","Gỗ cao su/ ván ép","Giường ngủ RALLY có kết cấu vững chắc với 4 chân giường từ gỗ cao su và các chân phụ bên dưới khung giường. Thiết kế tinh tế dành cho những ai ưa chuộng phong cách sống tối giản mà vẫn không kém phần sang trọng. Hãy khám phá bộ sưu tập nội thất RALLY từ BAYA để hoàn thiện tổ ấm của mình.","RALLY_Bed_Rubber_Wood_Plywood_White_UMA_1035537_corner.jpg"
"","Giường HARRIS","1028485","5990000","L200xW120xH109","Sồi veneer / Sồi / MDF","Việt Nam","Là sản phẩm của nội thất BAYA, giường HARRIS mang đến giấc ngủ sâu và ngon hơn cho các thành viên trong gia đình. Giường được làm từ gỗ sồi phủ veneer bền chắc, thiết kế đơn giản nhưng sang trọng và tinh tế. Sản phẩm có chiều cao 109 cm với nhiều kích cỡ cho bạn dễ dàng chọn lựa.","giuong-harris-1028485-1-baya.vn.jpg"
"","Giường HARRIS","1026580","7990000","L200xW180xH109","Sồi veneer / Sồi / MDF","Việt Nam","Là sản phẩm của nội thất BAYA, giường HARRIS mang đến giấc ngủ sâu và ngon hơn cho các thành viên trong gia đình. Giường được làm từ gỗ sồi phủ veneer bền chắc, thiết kế đơn giản nhưng sang trọng và tinh tế. Sản phẩm có chiều cao 109 cm với nhiều kích cỡ cho bạn dễ dàng chọn lựa.","giuong-harris-1026580-1-baya.vn.jpg"
"","Giường ALI","1000429• Giường ALI 1m2 - Giá 3,490,000 VND.\n• Giường ALI 1m6 - Giá 4,490,000 VND.\n• Giường HARRIS 1m8 - Giá 7,990,000.\n• GIƯỜNG ALBANY 1m8 - Giá 8,490,000.","5490000","L200xW180","Gỗ thông","Việt Nam","Giường ALI được làm từ chất liệu gỗ thông tự nhiên cho độ bền cao, chắc chắn, gam màu nhẹ nhàng, tươi sáng. Thiết kế tối giản với những thanh dọc mang đến vẻ ngoài ưa nhìn cho sản phẩm. Có 3 kích thước giường cho bạn chọn lựa. Hãy kết hợp với các món nội thất khác trong cùng bộ sưu tập ALI từ BAYA.","giuong-ali-1000429-1-baya.vn.jpg"
"ghe","Ghế đôn NAGASAKI","428","499000","D40xW43xH44","Nâu đậm","Ván ép/ vải tổng hợp","Ghế đôn phong cách Nhật Bản với gỗ và đệm ngồi êm ái bọc polyester. Có thể chồng nhiều ghế lên nhau để tiết kiệm không gian.","ghe-don-nagasaki-428-1-baya.vn.jpg"
"","Ghế đôn cao JEFFERSON","421","899000","H66","Gỗ cao su","Việt Nam","Ghế đẩu gỗ tự nhiên với phần khung chắc chắn, màu sắc đẹp mắt, thích hợp sử dụng tại quầy bar, bàn bếp. Sản phẩm có 2 kích cỡ cho bạn lựa chọn.","ghe-don-cao-jefferson-421-1-baya.vn.jpg"
"","Ghế đôn TOTEM","4469","199000","H45xDia33","Gỗ cao su","Việt Nam","Ghế đôn TOTEM được làm từ chất liệu gỗ cao su bền chắc với đường vân và màu sắc tự nhiên đẹp mắt. Sản phẩm có thiết kế đơn giản, gọn nhẹ, dễ phối hợp với các kiểu bàn ghế khác nhau giúp bạn nhanh chóng có thêm một chỗ ngồi thư giãn. Chọn ngay ghế đôn TOTEM để hoàn thiện không gian sống mang phong cách Bắc Âu đương đại thanh lịch và tinh tế.","ghe-don-totem-4469-1-baya.vn.jpg"
"","Ghế đôn FRODO","413","499000","H38xDia33","Màu trắng","MDF","Được thiết kế bởi BAYA, ghế đẩu FRODO thích hợp với các không gian phòng mang hơi thở hiện đại, sang trọng và đầy trang nhã. Ghế được làm từ gỗ MDF trắng, vừa đẹp mắt vừa đảm bảo độ bền lâu dài khi sử dụng. Hãy kết hợp cùng các sản phẩm khác trong bộ sưu tập FRODO đến từ BAYA.","ghe-don-frodo-413-1-baya.vn.jpg"
"","Ghế đôn MOZART","411","499000","D38xW38xH43","Màu trắng","Gỗ keo","Ghế đẩu MOZART do BAYA thiết kế được làm từ gỗ keo sơn trắng với đệm ngồi bọc PVC, đem đến vẻ đẹp sang trọng cho không gian sống. Hãy kết hợp sử dụng chiếc ghế này với các món nội thất khác trong bộ sưu tập MOZART từ BAYA.","ghe-don-mozart-411-1-baya.vn.jpg"
"","Ghế ăn QATAR","388","699000","D40xW45xH88","Gỗ cao su","Việt Nam","Thiết kế vững chãi từ gỗ cao su thiên nhiên cho không gian sống hiện đại.","ghe-an-qatar-388-1-baya.vn.jpg"
"","Ghế ăn MARLOW","375","1490000","D43xW53xH45/ 82","Sồi đặc","Việt Nam","Ghế MARLOW từ gỗ sồi với màu sắc tự nhiên đẹp mắt, khung ghế vững chãi và cho độ bền cao.","ghe-an-marlow-375-1-baya.vn.jpg"
"","Ghế ăn KITKA","374","849000","D48xW45xH83/45","Màu gỗ đậm","Gỗ cao su","Ghế ăn KITKA với thiết kế đơn giản theo phong cách châu Á cổ điển, chất liệu gỗ cao su bền chắc và gam màu nâu thẫm mang vẻ đẹp ấm cúng vào phòng ăn gia đình bạn. Đệm ngồi làm từ mút bọc da tổng hợp êm ái, góp phần tô điểm cho không gian sang trọng. Kết hợp trọn bộ với bàn ăn KITKA để hoàn thiện nội thất tổ ấm bạn.","ghe-an-kitka-374-1-baya.vn.jpg"
"","Ghế ăn COSSACK","355","699000","D48xW55xH85","Màu trắng","Kim loại/ nhựa","Thiết kế hiện đại với chân kim loại chắc chắn và mặt ghế PVC đẹp mắt. Sản phẩm dễ di chuyển và có 2 màu để bạn chọn.","ghe-an-cossack-355-1-baya.vn.jpg"
"","Ghế ăn COSSACK","354","699000","D48xW55xH85","Màu đen","Kim loại/ nhựa","Ghế ăn COSSACK đơn sắc với tựa lưng cao ráo thích hợp cho nhiều mục đích sử dụng và phong cách nội thất đa dạng. Thiết kế hiện đại với chân kim loại thanh mảnh nhưng chắc chắn, mặt ghế từ chất liệu PVC bền bỉ và đường cong đẹp mắt, chiếc ghế mang lại cảm giác dễ chịu và thoải mái cho không gian sống của bạn.","ghe-an-cossack-354-1-baya.vn.jpg"
"","Ghế ăn BIANCA","343","499000","D44xW46xH72","Gỗ cao su","Việt Nam","Thiết kế có thể gấp gọn giúp bạn tiết kiệm không gian. Hãy kết hợp chiếc ghế này với bàn ăn BIANCA để có một bộ hoàn chỉnh.","ghe-an-bianca-343-1-baya.vn.jpg"
"","Ghế ăn BAVARIA","341","749000","D38xW42xH45/ 80","Màu trắng","Ván ép","Ghế ăn BAVARIA đơn sắc với tựa lưng cao ráo và khả năng chịu nước tốt thích hợp cho nhiều mục đích sử dụng và phong cách nội thất đa dạng. Thiết kế hiện đại với chân kim loại thanh mảnh nhưng chắc chắn và mặt ghế bằng gỗ đoạn mỏng nhẹ có đường cong đẹp mắt, chiếc ghế mang lại cảm giác dễ chịu và thoải mái cho không gian sống của bạn.","ghe-an-bavaria-341-1-baya.vn.jpg"
"tu_ke","Giá treo quần áo AKIO","1099911• Chất liệu gỗ óc chó cao cấp\n• Thêm kệ mở tiện ích\n• Phong cách Á Đông & Việt Nam đương đại","3990000","D40xW120xH160","Màu gỗ đậm","Gỗ Óc chó/Veneer Óc chó","","akio_clothes_rack_uma_1099911_1.jpg"
"","Kệ giày PILOT","4585","729000","D26xW67xH44","Màu trắng","Gỗ bạch dương","Giá giày PILOT giúp cho nhà bạn thêm ngăn nắp và trang nhã. Thiết kế 2 trong 1 với tầng trên cùng có thể được dùng như ghế thay giày.","ke-giay-pilot-4585-baya.vn.jpg"
"","Kệ TV TREVOR","4161","3990000","D45xW120xH50","Màu trắng","MDF","Kệ TV TREVOR không chỉ hoàn thiện không gian giải trí mà còn giúp bạn lưu trữ nhiều đồ vật hơn với 2 ngăn kéo và 1 ngăn chứa mở. Chân kệ bằng thép để đảm bảo độ vững chắc, mặt sau kệ có các lỗ tròn để bạn luồn dây cáp điện thật gọn gàng. Sản phẩm sẽ hoàn hảo hơn khi kết hợp cùng bàn cà phê TREVOR từ BAYA.","ke-tv-trevor-4161-1-baya.vn.jpg"
"","Kệ giày TOBAGO","2125","799000","72x29xH105","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 6 tầng tiện dụng.","ke-giay-tobago-2125-baya.vn.jpg"
"","Ghế dài BANG","2140","649000","D35xW80xH50","Gỗ thông","Việt Nam","Ghế băng dài BANG làm bằng gỗ thông, mặt ghế được thiết kế từ nhiều thanh gỗ ghép lại, kiểu dáng trang nhã sang trọng. Đây là một sản phẩm đa năng đến từ nội thất BAYA với gam màu nâu sáng trang nhã.","ghe-dai-bang-2140-baya.vn.jpg"
"","Kệ giày TOBAGO","2123","699000","72x29xH85","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 5 tầng tiện dụng.","ke-giay-tobago-2123-baya.vn.jpg"
"","Kệ giày TOBAGO","2120","599000","72x29xH67","Gỗ thông","Việt Nam","Giá Giày TOBAGO có thiết kế 4 tầng với chiều ngang 72cm, cho sức chứa khoảng 12 đôi giày cùng một lúc. Sản phẩm cho độ bền cao và vẻ đẹp mộc mạc.","ke-giay-tobago-2120-1-baya.vn.jpg"
"","Kệ giày TOBAGO","2117","499000","D29xW72xH47","Gỗ thông","Việt Nam","Với chất liệu gỗ thông, bền đẹp thân thiện với môi trường, giá giày TOBAGO rất thích hợp cho việc cất giữ giầy dép một cách ngăn nắp, sạch sẽ và tô điểm thêm màu sắc cho ngôi nhà của bạn đẹp mắt. Các góc cạnh cạnh được gia công kỹ lưỡng, bề mặt nhẵn bóng tạo tính thẩm mỹ cao, thiết kế chắc chắn, có 3 tầng tiện dụng.","ke-giay-tobago-2117-1-baya.vn.jpg"
